Species_accepted_names,order,APG4_group,order_group
Nymphaea_ampla,Nymphaeales,Basal,Basal
Alseuosmia_macrophylla,Asterales,Eudicot,Asterales
Alseuosmia_pusilla,Asterales,Eudicot,Asterales
Alseuosmia_quercifolia,Asterales,Eudicot,Asterales
Alseuosmia_turneri,Asterales,Eudicot,Asterales
Solidago_canadensis,Asterales,Eudicot,Asterales
Euthamia_graminifolia,Asterales,Eudicot,Asterales
Solidago_juncea,Asterales,Eudicot,Asterales
Senecio_integrifolius,Asterales,Eudicot,Asterales
Acourtia_runcinata,Asterales,Eudicot,Asterales
Helianthus_exilis,Asterales,Eudicot,Asterales
Liatris_ohlingerae,Asterales,Eudicot,Asterales
Argyroxiphium_sandwicense,Asterales,Eudicot,Asterales
Taraxacum_ceratophorum,Asterales,Eudicot,Asterales
Scorzonera_humilis,Asterales,Eudicot,Asterales
Gerbera_aurantiaca,Asterales,Eudicot,Asterales
Lecocarpus_pinnatifidus,Asterales,Eudicot,Asterales
Balsamorhiza_sagittata,Asterales,Eudicot,Asterales
Chuquiraga_oppositifolia,Asterales,Eudicot,Asterales
Antennaria_dioica,Asterales,Eudicot,Asterales
Centaurea_jacea,Asterales,Eudicot,Asterales
Helichrysum_stoechas,Asterales,Eudicot,Asterales
Hypochaeris_thrincioides,Asterales,Eudicot,Asterales
Perezia_carthamoides,Asterales,Eudicot,Asterales
Flourensia_cernua,Asterales,Eudicot,Asterales
Erigeron_breviscapus,Asterales,Eudicot,Asterales
Saussurea_laniceps,Asterales,Eudicot,Asterales
Saussurea_medusa,Asterales,Eudicot,Asterales
Symphyotrichum_sericeum,Asterales,Eudicot,Asterales
Coreopsis_lanceolata,Asterales,Eudicot,Asterales
Cirsium_boninense,Asterales,Eudicot,Asterales
Crepidiastrum_grandicollum,Asterales,Eudicot,Asterales
Ixeris_longirostra,Asterales,Eudicot,Asterales
Balsamorhiza_deltoidea,Asterales,Eudicot,Asterales
Lasthenia_fremontii,Asterales,Eudicot,Asterales
Chaetanthera_renifolia,Asterales,Eudicot,Asterales
Echinacea_laevigata,Asterales,Eudicot,Asterales
Wahlenbergia_krebsii,Asterales,Eudicot,Asterales
Inula_royleana,Asterales,Eudicot,Asterales
